date,spend,sales
8/8/2023,128752,476430
8/9/2023,113546,367509
8/10/2023,107804,462241
8/11/2023,67206,169781
8/12/2023,66195,43973
8/13/2023,71927,63941
8/14/2023,72074,96007
8/15/2023,57044,43445
8/16/2023,50223,86910
8/17/2023,47315,74491
8/18/2023,41010,40297
8/19/2023,44373,30338
8/20/2023,50706,47727
8/21/2023,50016,174264
8/22/2023,43678,394381
8/23/2023,67288,352726
8/24/2023,93776,172817
8/25/2023,237486,247778
8/26/2023,233700,139076
8/27/2023,188542,333882
8/28/2023,141591,140330
8/29/2023,127983,158190
8/30/2023,115558,171871
8/31/2023,82049,256317
