date,sessions,conversion_rate
7/11/19,7108,.0037
7/12/19,16156,.0057
7/13/19,17503,.0116
7/14/19,17103,.0116
7/15/19,13643,.0016
7/16/19,11077,.0097
7/17/19,23176,.0098
7/18/19,21914,.0131
7/19/19,18730,.0088
7/20/19,17064,.0079
7/21/19,12979,.0080
7/22/19,13622,.0126
7/23/19,12370,.0144
7/24/19,14701,.0090
7/25/19,14496,.0099
7/26/19,13638,.0113
7/27/19,12600,.0102
7/28/19,12692,.0122
7/29/19,14559,.0098
7/30/19,14338,.0139
7/31/19,14159,.0146
8/1/19,18833,.0119
8/2/19,15768,.0122
8/3/19,14299,.0110
8/4/19,15261,.0105
8/5/19,16260,.0081
8/6/19,14095,.0070
8/7/19,13453,.0095
8/8/19,13399,.0119
8/9/19,12355,.0118
8/10/19,12545,.0108
8/11/19,14076,.0126
8/12/19,14191,.0075
8/13/19,12914,.0104
8/14/19,12316,.0080
8/15/19,12129,.0080
8/16/19,12776,.0094
8/17/19,11605,.0128
8/18/19,11277,.0077
8/19/19,13127,.0098
8/20/19,12526,.0070
8/21/19,13519,.0085
8/22/19,13652,.0078
8/23/19,12431,.0068
8/24/19,11451,.0065
8/25/19,10178,.0048
8/26/19,12032,.0071
8/27/19,11908,.0070
8/28/19,10929,.0030
8/29/19,15382,.0155
8/30/19,18175,.0090
8/31/19,15450,.0142
9/1/19,16593,.0148
9/2/19,15475,.0100
9/3/19,15727,.0083
9/4/19,15262,.0094
9/5/19,18158,.0090
9/6/19,16490,.0093
9/7/19,15048,.0099
9/8/19,15759,.0121
9/9/19,14472,.0099
9/10/19,15105,.0092
9/11/19,15010,.0088
9/12/19,16132,.0081
9/13/19,17712,.0085
9/14/19,15630,.0089
9/15/19,17066,.0076
9/16/19,16414,.0181
9/17/19,16605,.0059
9/18/19,16493,.0044
9/19/19,15905,.0080
9/20/19,16345,.0062
9/21/19,19859,.0050
9/22/19,14594,.0071
9/23/19,16753,.0066
9/24/19,15491,.0068
9/25/19,13549,.0066
9/26/19,13904,.0096
9/27/19,13516,.0091
9/28/19,12858,.0075
9/29/19,13683,.0079
9/30/19,15273,.0058
10/1/19,17467,.0097
10/2/19,18630,.0100
10/3/19,21255,.0092
10/4/19,21225,.0086
10/5/19,20455,.0099
10/6/19,20344,.0100
10/7/19,17499,.0069
10/8/19,21586,.0088
10/9/19,19270,.0082
10/10/19,17412,.0086
10/11/19,20943,.0084
10/12/19,19999,.0091
10/13/19,18449,.0113
10/14/19,20950,.0090
10/15/19,22547,.0082
10/16/19,19098,.0090
10/17/19,19464,.0084
10/18/19,21931,.0077
10/19/19,20064,.0096
10/20/19,22259,.0107
10/21/19,19976,.0093
10/22/19,20289,.0036
10/23/19,19049,.0113
10/24/19,21654,.0097
10/25/19,27094,.0076
10/26/19,18142,.0125
10/27/19,15700,.0169
10/28/19,15245,.0133
10/29/19,20519,.0126
10/30/19,22493,.0128
10/31/19,17321,.0242
11/1/19,12689,.0098
11/2/19,11679,.0082
11/3/19,12166,.0104
11/4/19,13986,.0046
11/5/19,13685,.0049
11/6/19,12990,.0050
11/7/19,14924,.0060
11/8/19,15569,.0056
11/9/19,14164,.0056
11/10/19,16327,.0037
11/11/19,19391,.0045
11/12/19,19722,.0067
11/13/19,22995,.0072
11/14/19,27945,.0033
11/15/19,34422,.0017
11/16/19,30242,.0088
11/17/19,28116,.0160
11/18/19,29966,.0145
11/19/19,22423,.0191
11/20/19,18775,.0133
11/21/19,20291,.0101
11/22/19,18522,.0098
11/23/19,14663,.0108
11/24/19,14089,.0134
11/25/19,15943,.0117
11/26/19,16991,.0110
11/27/19,25203,.0099
11/28/19,54697,.0024
11/29/19,61915,.0036
11/30/19,17801,.0067
12/1/19,17782,.0084
12/2/19,24672,.0090
12/3/19,17811,.0072
12/4/19,16020,.0064
12/5/19,17420,.0077
12/6/19,19660,.0086
12/7/19,19670,.0074
12/8/19,19361,.0097
12/9/19,18320,.0097
12/10/19,18257,.0066
12/11/19,18464,.0056
12/12/19,18359,.0072
12/13/19,18054,.0049
12/14/19,17732,.0056
12/15/19,20095,.0091
12/16/19,23960,.0093
12/17/19,24428,.0059
12/18/19,21539,.0046
12/19/19,19754,.0047
12/20/19,32265,.0035
12/21/19,22473,.0034
12/22/19,18715,.0043
12/23/19,19242,.0041
12/24/19,28307,.0022
12/25/19,19281,.0017
12/26/19,24778,.0074
12/27/19,25327,.0065
12/28/19,23529,.0070
12/29/19,23412,.0063
12/30/19,25200,.0060
12/31/19,21974,.0073
1/1/20,16448,.0042
1/2/20,21978,.0055
1/3/20,22230,.0058
1/4/20,19409,.0071
1/5/20,18618,.0073
1/6/20,17013,.0079
1/7/20,16586,.0094
1/8/20,16250,.0062
1/9/20,17147,.0090
1/10/20,18016,.0079
1/11/20,16640,.0082
1/12/20,17636,.0068
1/13/20,19386,.0069
1/14/20,20431,.0099
1/15/20,19959,.0079
1/16/20,18481,.0087
1/17/20,22539,.0060
1/18/20,20346,.0058
1/19/20,23150,.0056
1/20/20,19582,.0073
1/21/20,19048,.0140
1/22/20,25025,.0056
1/23/20,24141,.0058
1/24/20,23822,.0068
1/25/20,20587,.0102
1/26/20,21168,.0112
1/27/20,20921,.0086
1/28/20,21219,.0110
1/29/20,20193,.0069
1/30/20,19684,.0084
1/31/20,16482,.0076
2/1/20,13735,.0098
2/2/20,12882,.0080
2/3/20,14701,.0083
2/4/20,15260,.0115
2/5/20,14588,.0102
2/6/20,14050,.0120
2/7/20,15214,.0073
2/8/20,13797,.0096
2/9/20,16034,.0096
2/10/20,21236,.0048
2/11/20,24196,.0067
2/12/20,16455,.0073
2/13/20,15839,.0061
2/14/20,16653,.0050
2/15/20,16206,.0065
2/16/20,14120,.0086
2/17/20,13506,.0034
2/18/20,12356,.0067
2/19/20,12402,.0060
2/20/20,13150,.0043
2/21/20,16389,.0042
2/22/20,14938,.0037
2/23/20,15259,.0048
2/24/20,15524,.0050
2/25/20,15085,.0052
2/26/20,12808,.0039
2/27/20,14510,.0043
2/28/20,12895,.0067
2/29/20,13560,.0055
3/1/20,14261,.0043
3/2/20,15267,.0048
3/3/20,16005,.0053
3/4/20,22161,.0042
3/5/20,19994,.0073
3/6/20,18322,.0081
3/7/20,17858,.0081
3/8/20,16661,.0079
3/9/20,17003,.0063
3/10/20,16526,.0076
3/11/20,16568,.0072
3/12/20,15832,.0086
3/13/20,14075,.0082
3/14/20,14343,.0082
3/15/20,17385,.0101
3/16/20,16663,.0090
3/17/20,15078,.0051
3/18/20,14316,.0043
3/19/20,12919,.0044
3/20/20,21094,.0052
3/21/20,18123,.0058
3/22/20,15366,.0069
3/23/20,18151,.0035
3/24/20,14360,.0054
3/25/20,13083,.0051
3/26/20,16333,.0069
3/27/20,18210,.0107
3/28/20,14906,.0091
3/29/20,15051,.0116
3/30/20,16761,.0084
3/31/20,16572,.0064
4/1/20,14990,.0119
4/2/20,16405,.0069
4/3/20,15116,.0078
4/4/20,14058,.0110
4/5/20,24207,.0064
4/6/20,48936,.0047
4/7/20,28004,.0095
4/8/20,23882,.0103
4/9/20,24352,.0091
4/10/20,19682,.0109
4/11/20,19188,.0113
4/12/20,20069,.0094
4/13/20,23223,.0092
4/14/20,24888,.0145
4/15/20,22782,.0109
4/16/20,22106,.0123
4/17/20,21772,.0130
4/18/20,19815,.0123
4/19/20,20240,.0134
4/20/20,25422,.0105
4/21/20,23152,.0159
4/22/20,21615,.0122
4/23/20,22528,.0164
4/24/20,22695,.0135
4/25/20,21753,.0137
4/26/20,23773,.0186
4/27/20,25697,.0165
4/28/20,27153,.0182
4/29/20,26252,.0176
4/30/20,30100,.0174
5/1/20,32338,.0136
5/2/20,28950,.0175
5/3/20,27757,.0157
5/4/20,31636,.0150
5/5/20,30197,.0159
5/6/20,30540,.0154
5/7/20,26885,.0124
5/8/20,24559,.0124
5/9/20,23987,.0145
5/10/20,22201,.0147
5/11/20,26271,.0117
5/12/20,25134,.0134
5/13/20,24634,.0129
5/14/20,31154,.0097
5/15/20,30432,.0066
5/16/20,24002,.0106
5/17/20,24982,.0106
5/18/20,25796,.0127
5/19/20,23842,.0164
5/20/20,31176,.0165
5/21/20,29900,.0132
5/22/20,70639,.0209
5/23/20,51715,.0229
5/24/20,48880,.0271
5/25/20,44194,.0213
5/26/20,44670,.0200
5/27/20,45262,.0175
5/28/20,50174,.0161
5/29/20,45631,.0185
5/30/20,49778,.0195
5/31/20,48767,.0209
6/1/20,48580,.0245
6/2/20,36347,.0184
6/3/20,36150,.0156
6/4/20,33380,.0208
6/5/20,31031,.0177
6/6/20,27935,.0193
6/7/20,28188,.0198
6/8/20,30461,.0166
6/9/20,31246,.0180
6/10/20,32760,.0171
6/11/20,34899,.0175
6/12/20,31975,.0130
6/13/20,33384,.0198
6/14/20,33818,.0235
6/15/20,37371,.0158
6/16/20,34939,.0171
6/17/20,34113,.0162
6/18/20,34402,.0165
6/19/20,31714,.0153
6/20/20,29916,.0166
6/21/20,30760,.0177
6/22/20,36853,.0169
6/23/20,35364,.0199
6/24/20,36058,.0185
6/25/20,35356,.0160
6/26/20,33234,.0138
6/27/20,30247,.0158
6/28/20,30056,.0165
6/29/20,35425,.0152
6/30/20,35387,.0195
7/1/20,33768,.0154
7/2/20,34627,.0139
7/3/20,38065,.0190
7/4/20,37816,.0192
7/5/20,32770,.0169
7/6/20,34117,.0135
7/7/20,33163,.0144
7/8/20,34599,.0153
7/9/20,34640,.0157
7/10/20,36102,.0185
7/11/20,34025,.0199
7/12/20,34374,.0147
7/13/20,33680,.0148
7/14/20,35958,.0151
7/15/20,35180,.0130
7/16/20,33520,.0140
7/17/20,35184,.0127
7/18/20,33108,.0159
7/19/20,33767,.0135
7/20/20,35635,.0131
7/21/20,34194,.0159
7/22/20,33556,.0122
7/23/20,32988,.0132
7/24/20,33616,.0188
7/25/20,34017,.0177
7/26/20,34501,.0173
7/27/20,36430,.0150
7/28/20,35992,.0150
7/29/20,36943,.0120
7/30/20,35452,.0134
7/31/20,39658,.0183
8/1/20,35859,.0153
8/2/20,35491,.0145
8/3/20,36358,.0121
8/4/20,37895,.0142
8/5/20,35188,.0129
8/6/20,38160,.0134
8/7/20,42221,.0169
8/8/20,35311,.0131
8/9/20,33487,.0145
8/10/20,37176,.0117
8/11/20,38607,.0132
8/12/20,35976,.0105
